,Address,Phone Number,Timings,State,Latitude,Longitude
0," KFC Kakalapalli Ground & 1st Floor, Rudrampeta, NH 44 Bypass, Hyway Lounge RdKakalapalliAnantapur - 515004",+918042754444, 11:00 PM,Andhra-Pradesh,14.65764271,77.58142898
1," KFC KFC - Regatipalli Highway Ananthpur No 41 to 43, NH 44, Hyderabad Bengaluru HighwayRegantipalliAnantapur - 515672",+917569897471, 11:00 PM,Andhra-Pradesh,14.401388,77.637739
2," KFC Simhapuri Colony DN 42/347/15/12, Survey No 760/5Simhapuri ColonyKadapa - 516001 Next to Joy Allukas Showroom",+918042754444, 05:00 PM,Andhra-Pradesh,14.465522,78.83269
3," KFC Korrapadu Road No 7/834, SS MallKorrapadu RoadProddatur - 516360",+918042754444, 11:00 PM,Andhra-Pradesh,14.755477,78.55596300000001
4," KFC Vellore Road D No 19/565/11, Sai YashusVellore RoadChittoor - 517002 Opposite Sri Venkateshwara Theatre",+918042754444, 11:00 PM,Andhra-Pradesh,13.207946,79.098912
5," KFC VV Mahal road Sy No 3181 & 3184, DN 10/14/575/A4VV Mahal roadTirupati - 517501 Near Municipal Office Junction",+918042754444, 05:00 PM,Andhra-Pradesh,13.6370983,79.422057
6," KFC Air Bypass Road Shop No 1, 1st Floor, BM Complex, No 19/4/121/C, Ward No 19Air Bypass RoadTirupati - 517501 STV Nagar",+918042754444, 11:00 PM,Andhra-Pradesh,13.62259,79.42413999999999
7," KFC Bhagyanagar 001, Door No 40/304, Gr Flr, TGV Infra, KJ ComplexBhagyanagarKurnool - 518004",+918042754444, 11:00 PM,Andhra-Pradesh,15.826875,78.035421
8," KFC KFC Machavaram Vijayawada Chuttugunta, Eluru RoadMachavaramKrishna - 520004 Opposite to BSNL Bhavan",+918328629410, 11:00 PM,Andhra-Pradesh,16.51434846,80.63066311
9," KFC Krishna Door No 7/19, Kamayyathopu Centre, Machali PatnamKrishna NagarVijayawada - 520007",+918042754444, 11:00 PM,Andhra-Pradesh,16.48596702,80.68370681
10," KFC KFC Gurunanak Colony Ground Floor, Surya Prakesh SquareGurunanak ColonyVijayawada - 520008 Near MC Donalds Signal",+918712345161, 11:00 PM,Andhra-Pradesh,16.504865,80.661915
11," KFC Mogalrajpuram DN 39/1/57, 3rd Floor, PVP Square, MG RoadMogalrajpuramVijayawada - 520010",+918042754444, 11:00 PM,Andhra-Pradesh,16.5024438,80.6425251
12," KFC Acheraya Ranga Nagar Door No 42/1/52D & 52E, UGF, KK Tower, MG RoadAcheraya Ranga NagarVijayawada - 520010 Near Benz Circle",+918042754444, 11:00 PM,Andhra-Pradesh,16.4990251,80.6517887
13," KFC KFC Bhavani Pruam Vijayawada D No 76/8/51 & 2, Ward No 27, Swathi Theatre RoadBhavani PuramVijayawada - 520012",+919642486786, 11:00 PM,Andhra-Pradesh,16.528608,80.595281
14, KFC KFC - Vijayawada Bus Stand Padmavathi GhatKrishnalankaVijayawada - 520013 Opposite Pandit Nehru Main Bus Stand,+918042754444, 11:00 PM,Andhra-Pradesh,16.509121,80.6154311
15," KFC KFC- Naaz Centre Ground Floor, KSP MallNaaz CentreGuntur - 522001 Opposite Gunta Grounds",+918309288080, 11:00 PM,Andhra-Pradesh,16.29683069,80.4475373
16," KFC KFC - Amravati Road, Guntur National Insurance Building, Guntur Amravati RoadGorantalaGuntur - 522007",+918042754444, 11:00 PM,Andhra-Pradesh,16.332311,80.438451
